RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
244,"Ted Ginn, Ari WR",0/0,0,0,0,5,28,0,29,452,3,65
245,"Matt Bryant, Atl K",0/0,0,0,0,0,0,0,0,0,0,134
246,"Mohamed Sanu, Cin WR",0/0,0,0,0,5,24,0,39,361,2,48
247,Giants D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,0
248,"Geno Smith, NYJ QB",131/218,1469,12,9,40,201,2,0,0,0,116
249,"Jonathan Dwyer, Ari RB",0/0,0,0,0,110,448,3,8,59,0,65
250,"Brandon Bolden, NE RB",0/0,0,0,0,54,250,2,15,76,0,44
251,"Alex Henery, Phi K",0/0,0,0,0,0,0,0,0,0,0,132
252,"Marcedes Lewis, Jac TE",0/0,0,0,0,0,0,0,36,368,2,48
253,"Ronnie Hillman, Den RB",0/0,0,0,0,50,213,0,13,98,0,28
254,"Jarvis Landry, Mia WR",0/0,0,0,0,0,0,0,36,476,2,59
255,Eagles D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,0
256,"BenJarvus Green-Ellis, Cin RB",0/0,0,0,0,62,250,2,2,14,0,38
257,"Ryan Succop, KC K",0/0,0,0,0,0,0,0,0,0,0,127
258,"Cole Beasley, Dal WR",0/0,0,0,0,0,0,0,46,423,2,54
259,"Chris Polk, Phi RB  P",0/0,0,0,0,47,208,1,11,70,0,33
260,"Jake Locker, Ten QB  Q",209/347,2413,14,9,40,262,1,0,0,0,162
261,"Jerrel Jernigan, NYG WR",0/0,0,0,0,3,26,0,31,386,3,56
262,"Jonathan Grimes, Hou RB",0/0,0,0,0,80,296,1,9,59,0,40
263,"Graham Gano, Car K",0/0,0,0,0,0,0,0,0,0,0,0
264,Lions D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,0
265,"Jason Avant, Car WR",0/0,0,0,0,0,0,0,35,361,2,46
266,"Stepfan Taylor, Ari RB",0/0,0,0,0,65,211,2,11,70,0,40
267,"Zach Miller, Sea TE",0/0,0,0,0,0,0,0,34,390,1,45
268,"Davante Adams, GB WR",0/0,0,0,0,0,0,0,26,334,2,43
269,"Jerick McKinnon, Min RB",0/0,0,0,0,24,108,1,19,123,1,34
270,"Mike Nugent, Cin K",0/0,0,0,0,0,0,0,0,0,0,0
271,"Greg Little, Oak WR",0/0,0,0,0,0,0,0,34,432,3,59
272,"Brandon Bostick, GB TE",0/0,0,0,0,0,0,0,26,334,2,45
273,"Bobby Rainey, TB RB",0/0,0,0,0,26,98,0,9,58,0,14
274,"Allen Robinson, Jac WR",0/0,0,0,0,0,0,0,29,371,2,49
275,"Martavis Bryant, Pit WR",0/0,0,0,0,0,0,0,27,380,2,48
276,"Benny Cunningham, StL RB",0/0,0,0,0,25,121,1,6,50,0,23
277,"James White, NE RB",0/0,0,0,0,44,198,1,13,101,1,39
278,"Miles Austin, Cle WR",0/0,0,0,0,0,0,0,22,321,2,42
279,"Brandon Pettigrew, Det TE",0/0,0,0,0,0,0,0,24,257,3,43
280,"Michael Vick, NYJ QB",173/305,2304,14,11,58,376,2,0,0,0,169
281,Colts D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,0
282,"Bilal Powell, NYJ RB",0/0,0,0,0,60,232,1,20,131,0,42
283,"Ace Sanders, Jac WR  SSPD",0/0,0,0,0,5,21,0,45,423,1,50
284,"Brent Celek, Phi TE",0/0,0,0,0,0,0,0,30,355,2,47
285,"Robert Turbin, Sea RB",0/0,0,0,0,38,131,1,7,45,0,23
